RB, Yards Rushed Until TD
F.Gore,10
L.McClain,15
D.Williams,31
C.Benson,76
A.Peterson,25
R.Grant,33
T.Jones,10
J.Addai,31
F.Taylor,25
Kv.Smith,5
H.Smith,8
M.Bush,30
J.Jones,109
C.Williams,77
D.Williams,77
B.Roethlisberger,4
M.Barber,45
P.Hillis,4
A.Peterson,126
R.Grant,61
T.Hightower,21
D.McFadden,81
R.Brown,85
M.Bell,71
W.McGahee,60
F.Gore,113
C.Johnson,127
W.McGahee,67
L.Hamilton,5
B.Roethlisberger,5
T.Choice,43
M.Morris,25
D.Garrard,37
F.Taylor,112
M.Sanchez,12
K.Moreno,112
L.McCoy,26
P.Rivers,7
J.Kuhn,1
B.Jacobs,69
K.Smith,-2
D.Anderson,2
M.Barber,68
S.Slaton,80
D.Brown,54
M.Jones-Drew,65
R.Brown,209
A.Peterson,266
T.Brady,10
T.Jones,103
R.Mendenhall,59
T.Hightower,57
C.Benson,282
C.Portis,303
R.Mendenhall,93
T.Choice,113
R.Brown,226
A.Bradshaw,122
B.Westbrook,65
M.Turner,110
A.Peterson,280
J.Addai,122
M.Turner,140
C.Benson,312
M.Jones-Drew,106
R.Rice,213
L.Maroney,148
M.Bell,73
T.Jones,249
R.Mendenhall,123
T.Hightower,87
C.Williams,194
M.Lynch,114
C.Benson,465
R.Grant,237
M.Turner,187
S.Slaton,104
R.Williams,111
B.Jacobs,235
T.Jones,253
A.Peterson,382
J.Addai,157
L.Maroney,188
D.Jackson,82
J.Stewart,58
K.Moreno,286
T.Owens,48
M.Forte,176
M.Barber,133
M.Stafford,32
A.Peterson,397
F.Gore,191
M.Turner,225
M.Sanchez,39
L.Weaver,42
L.Tomlinson,149
M.Jones-Drew,186
M.Turner,302
C.Benson,510
S.Slaton,118
R.Jennings,31
L.Maroney,213
D.Williams,253
T.Choice,115
J.Jones,295
V.Young,32
R.Grant,278
J.Forsett,113
J.Stewart,65
R.Rice,305
A.Rodgers,45
L.Maroney,221
R.Brown,314
A.Peterson,478
M.Jones-Drew,259
J.Fargas,97
L.Tomlinson,206
F.Gore,251
R.Bush,77
C.Johnson,268
L.Betts,138
J.Addai,229
R.Williams,156
L.McCoy,133
L.Tomlinson,250
R.Grant,444
L.White,70
M.Jones-Drew,278
J.Forsett,122
L.Maroney,237
J.Snelling,113
C.Palmer,19
C.Wells,158
M.Bell,133
W.McGahee,86
R.Fitzpatrick,38
B.Quinn,23
F.Jones,239
K.Moreno,482
C.Brown,53
A.Peterson,631
L.Maroney,276
T.Jones,371
J.Campbell,107
L.Tomlinson,277
J.Forsett,165
C.Johnson,504
M.Vick,49
M.Lynch,219
J.Stewart,138
M.Forte,311
K.Smith,312
L.Tomlinson,315
W.McGahee,84
J.Addai,245
C.Brown,65
K.Moreno,519
K.Faulk,84
B.Jacobs,352
R.Mendenhall,511
J.Snelling,177
R.Rice,541
R.Grant,594
C.Jennings,106
L.Tomlinson,318
R.Moats,123
R.Williams,256
J.Charles,347
A.Peterson,720
K.Faulk,99
A.Bradshaw,231
J.Fargas,220
C.Wells,271
T.Jones,468
C.Johnson,550
L.Maroney,384
A.Peterson,748
M.Bush,205
T.Hightower,362
M.Jones-Drew,449
J.Charles,430
M.Barber,322
D.McNabb,70
R.Mendenhall,549
R.Williams,329
A.Bradshaw,242
T.Hightower,396
A.Peterson,795
J.Harrison,291
R.Grant,609
J.Addai,362
A.Foster,38
S.Morris,204
P.Thomas,152
J.Stewart,234
R.Mendenhall,573
F.Gore,576
L.Tomlinson,405
M.Barber,337
R.Brown,348
J.Best,6
A.Foster,127
K.Moreno,681
J.Charles,592
C.Benson,912
P.Thomas,181
A.Bradshaw,310
W.McGahee,92
J.Kuhn,29
R.Mendenhall,693
M.Hasselbeck,74
T.Hightower,448
P.Hillis,41
J.Ringer,18
T.Hightower,535
P.Hillis,65
C.Buckhalter,443
J.Best,80
B.Jackson,86
D.Brown,158
A.Peterson,937
M.Tolbert,2
A.Dixon,2
C.Portis,480
D.McFadden,409
P.Hillis,138
C.Benson,997
A.Rodgers,120
M.Barber,431
M.Vick,127
T.Jones,642
L.Tomlinson,580
A.Peterson,991
D.Woodhead,32
M.Turner,525
C.Johnson,826
S.Jackson,696
R.Mendenhall,787
L.Tomlinson,622
P.Hillis,192
J.Addai,438
B.Green-Ellis,123
D.Williams,597
A.Bradshaw,411
D.Ward,271
R.Torain,12
R.Mendenhall,801
M.Tolbert,146
J.Flacco,77
M.Forte,547
E.Graham,121
C.Johnson,1001
B.Jacobs,458
M.Hart,78
S.Greene,274
M.Tolbert,159
L.McCoy,318
M.Forte,556
T.Tebow,9
A.Rodgers,184
D.Ward,309
C.Johnson,1112
A.Peterson,1135
B.Green-Ellis,128
B.Jacobs,468
D.Jackson,136
R.Mendenhall,878
S.Jackson,930
L.Betts,230
R.Torain,94
M.Turner,802
W.McGahee,177
B.Jacobs,533
D.McFadden,414
B.Jackson,317
J.Charles,834
P.Hillis,282
B.Green-Ellis,153
C.Wells,485
C.Wells,517
R.Williams,576
M.Barber,498
K.Williams,24
A.Foster,345
A.Peterson,1202
R.Mendenhall,984
M.Bush,331
M.Tolbert,168
T.Tebow,10
M.Turner,830
R.Brown,654
C.Taylor,250
L.Betts,259
R.Mendenhall,983
P.Hillis,302
M.Stafford,75
B.Jackson,391
A.Foster,353
A.Peterson,1244
J.James,6
A.Bradshaw,547
T.Hightower,672
F.Jackson,739
P.Hillis,349
T.Tebow,11
J.James,17
M.Jones-Drew,926
R.Brown,655
T.Brady,29
F.Gore,1168
L.Blount,180
M.Vick,163
R.Rice,1010
F.Jackson,781
J.Kitna,56
M.Jones-Drew,1059
T.Jones,940
M.Forte,796
B.Green-Ellis,249
C.Ivory,368
A.Foster,426
M.Vick,169
R.Mendenhall,1072
K.Moreno,841
C.Williams,536
M.Turner,1000
A.Dixon,13
A.Rodgers,299
R.Mendenhall,1107
M.Goodson,176
C.Ivory,371
K.Moreno,861
M.Morris,198
M.Tolbert,245
R.Jennings,131
B.Smith,206
R.Williams,670
S.Smith,12
A.Peterson,1385
S.Jackson,1247
C.Ivory,434
D.Stanton,23
J.Kuhn,162
T.Choice,254
A.Peterson,1394
B.Green-Ellis,273
B.Jacobs,634
L.McCoy,526
J.Campbell,213
M.Goodson,193
M.Turner,1117
R.Jennings,158
J.Feely,5
M.Turner,1153
D.Woodhead,107
M.Vick,235
W.McGahee,218
D.McFadden,708
B.Jacobs,717
S.Bradford,39
M.Tolbert,283
J.James,19
R.Rice,1204
C.Benson,1365
T.Choice,270
D.Brown,377
R.Brown,883
J.Webb,28
B.Green-Ellis,361
M.Vick,310
J.Ford,99
R.Mendenhall,1296
M.Tolbert,329
M.Lynch,510
J.Charles,1303
L.Blount,410
C.Johnson,1368
M.Barber,643
P.Thomas,274
D.Woodhead,152
M.Forte,1041
R.Mathews,234
A.Foster,637
J.Kuhn,183
R.Torain,483
L.Polite,91
J.Addai,504
J.Webb,51
R.Mendenhall,1331
S.Jackson,1388
M.Hasselbeck,92
C.Wells,616
R.Rice,1348
C.Benson,1517
J.Campbell,227
J.Starks,64
D.Ward,385
M.Jones-Drew,1247
C.Spiller,188
C.Henne,62
F.Jones,764
M.Tolbert,350
A.Smith,57
S.Jackson,1435
E.Manning,20
L.McCoy,678
M.Bush,364
J.Kuhn,184
W.McGahee,296
J.Best,515
P.Hillis,706
A.Peterson,1599
R.Mathews,282
B.Jacobs,789
S.Greene,443
R.Mendenhall,1386
F.Gore,1268
J.Ringer,173
C.Wells,695
F.Jackson,1182
K.Hunter,24
J.Addai,630
A.Peterson,1671
D.Sproles,235
D.McFadden,905
L.McCoy,766
R.Mathews,311
T.Jackson,35
J.Freeman,296
A.Bradshaw,865
R.Rice,1475
C.Newton,60
F.Jackson,1230
A.Rodgers,364
R.Mendenhall,1448
J.Collins,1
M.Bush,366
F.Gore,1411
L.Hilliard,39
M.Turner,1359
R.Torain,510
J.Freeman,297
M.Turner,1395
F.Jackson,1266
M.Ingram,95
P.Rivers,67
J.Best,668
D.Carter,80
M.Jones-Drew,1487
A.Peterson,1773
B.Green-Ellis,471
M.Lynch,660
C.Johnson,1618
F.Gore,1437
M.Turner,1419
J.Flacco,151
M.Barber,658
D.Brown,451
F.Gore,1500
A.Bradshaw,894
M.Sanchez,152
D.McFadden,1058
R.Mendenhall,1474
M.Ingram,122
L.McCoy,834
A.Smith,87
C.Newton,124
D.Murray,142
M.Ryan,84
A.Peterson,1819
J.Collins,2
M.Tolbert,436
L.McClain,128
M.Forte,1448
A.Foster,944
C.Wells,809
P.Harvin,276
M.Morris,346
M.Schaub,40
J.Battle,137
S.Slaton,190
L.McCoy,912
M.Lynch,684
F.Gore,1514
S.Jackson,1665
N.Washington,10
L.Tomlinson,1045
M.Lynch,819
B.Tate,297
M.Turner,1460
R.Bush,423
B.Jacobs,855
P.Thomas,464
W.McGahee,648
M.Barber,668
R.Rice,1600
M.Tolbert,485
C.Johnson,1844
M.Forte,1524
R.Mendenhall,1587
D.Murray,305
A.Peterson,1862
M.Jones-Drew,1715
T.Tebow,191
R.Bush,439
M.Sanchez,156
L.McCoy,971
M.Bush,564
M.Lynch,830
K.Hunter,133
A.Foster,1035
M.Turner,1636
C.Benson,1698
M.Barber,683
M.Jones-Drew,1746
T.Tebow,259
C.Newton,199
B.Raji,1
R.Bush,458
A.Peterson,1876
S.Vereen,39
M.Lynch,886
R.Grossman,20
T.Gerhart,218
C.Benson,1762
J.Kuhn,184
C.Newton,225
A.Foster,1078
B.Jacobs,965
M.Bush,632
L.McCoy,1088
R.Helu,204
C.Wells,1054
C.Wells,1107
C.Spiller,291
R.Rice,1758
A.Foster,1185
M.Tolbert,554
R.Bush,603
W.McGahee,911
B.Green-Ellis,689
M.Ingram,204
B.Jacobs,991
R.Mendenhall,1658
M.Lynch,1015
C.Newton,226
R.Helu,236
F.Gore,1889
R.Rice,1796
D.Williams,951
B.Jacobs,1035
M.Barber,871
J.Webb,138
R.Grant,904
L.Blount,691
L.McCoy,1110
M.Sanchez,162
M.Tolbert,558
S.Jackson,2077
J.Locker,17
P.Hillis,855
M.Turner,1776
C.Spiller,358
M.Lynch,1106
T.Tebow,395
R.Brockel,7
D.Brown,702
J.Battle,246
P.Thomas,583
D.Young,15
L.Murphy,71
M.Vick,564
M.Tolbert,560
F.Gore,1954
B.Scott,364
T.Romo,121
T.Tebow,399
D.Williams,984
K.Smith,565
A.Foster,1273
T.Brady,81
P.Thomas,607
A.Bradshaw,976
J.Clay,10
F.Gore,1998
M.Jones-Drew,1821
A.Peterson,1952
L.Stephens-Howling,104
R.Rice,1917
M.Bush,718
K.Moreno,1192
J.Bell,1
F.Gore,2110
A.Foster,1321
M.Cassel,328
A.Peterson,1975
A.Morris,28
A.Bradshaw,1012
C.Spiller,424
S.Ridley,209
M.Turner,1808
C.Spiller,462
M.Tolbert,567
T.Richardson,116
A.Foster,1334
R.Tannehill,15
K.Kolb,79
D.Martin,116
L.McCoy,1295
I.Redman,319
J.Battle,333
M.Lynch,1321
F.Gore,2144
R.Griffin,45
B.Bolden,2
A.Brown,240
M.Bush,821
T.Richardson,126
D.Murray,558
M.Jones-Drew,2004
D.Thomas,361
C.Ponder,131
J.Charles,1686
D.McFadden,1158
M.Turner,1863
C.Benson,2134
M.Leshoure,68
B.Green-Ellis,776
J.Lane,5
D.Williams,1079
T.Richardson,164
S.Ridley,295
W.McGahee,1146
M.Stafford,162
A.Foster,1475
A.Dalton,97
J.Battle,350
C.Kaepernick,41
M.Lynch,1431
R.Griffin,60
D.Thomas,373
J.Kuhn,192
A.Allen,104
P.Harvin,405
S.Vereen,40
R.Mathews,841
T.Richardson,186
A.Foster,1568
R.Mendenhall,1915
F.Gore,2255
M.Turner,1982
C.Spiller,521
D.McFadden,1256
F.Jones,1160
M.Hardesty,238
A.Foster,1579
S.Bradford,101
S.Greene,978
M.Stafford,166
A.Bradshaw,1115
L.Blount,782
J.Harper,6
A.Morris,275
C.Johnson,2258
M.Tolbert,579
C.Peerman,76
A.Foster,1657
A.Luck,56
A.Peterson,2264
S.Greene,987
A.Brown,259
R.Jennings,277
S.Jackson,2392
D.Martin,250
M.Forte,1987
T.Richardson,272
A.Brown,260
W.McGahee,1250
M.Lynch,1739
A.Peterson,2386
D.Thomas,382
L.McCoy,1546
S.Vereen,56
D.Carter,215
M.Turner,2106
B.Green-Ellis,969
R.Rice,2143
L.Stephens-Howling,132
A.Foster,1728
R.Bush,943
M.Leshoure,284
C.Ivory,653
A.Brown,266
D.Martin,466
S.Draughn,70
A.Peterson,2466
M.Forte,2023
D.Williams,1123
J.Flacco,200
R.Hillman,48
A.Brown,331
A.Luck,90
C.Johnson,2400
A.Peterson,2609
S.Ridley,432
C.Ivory,709
S.Havili,22
J.Charles,1928
M.Lynch,1778
S.Jackson,2450
L.Stephens-Howling,141
J.Stewart,1034
F.Jones,1348
M.Leshoure,345
A.Dalton,131
D.Carter,227
M.Ingram,386
B.Leftwich,33
K.Hunter,373
B.Powell,84
C.Wells,1227
M.Bush,951
B.Green-Ellis,1082
C.Rainey,34
A.Morris,516
M.Leshoure,360
R.Jennings,373
R.Bush,1030
C.Kaepernick,68
A.Brown,333
B.Powell,125
B.Brown,253
D.Martin,597
M.Turner,2162
J.Dwyer,299
R.Fitzpatrick,364
M.Lynch,1830
B.Brown,287
M.Leshoure,379
A.Peterson,2743
P.Hillis,1048
S.Ridley,479
T.Richardson,464
A.Dalton,138
F.Gore,2561
A.Foster,1922
S.Jackson,2577
C.Newton,621
D.Murray,667
J.Charles,2177
M.Stafford,206
D.Carter,228
S.Greene,1310
A.Peterson,2812
A.Foster,1968
D.Wilson,32
K.Moreno,1399
M.Lynch,1880
F.Gore,2588
N.Foles,10
A.Morris,695
M.Leshoure,417
M.Turner,2184
J.Hester,63
R.Wilson,139
T.Richardson,488
J.Dwyer,349
D.Woodhead,419
M.Ingram,517
B.Green-Ellis,1269
M.Tolbert,616
C.Ponder,191
C.Johnson,2570
M.Forte,2229
J.Flacco,195
C.Newton,660
M.Ingram,534
J.Hester,65
M.Leshoure,449
A.Rodgers,605
T.Gerhart,435
J.Charles,2321
R.Bush,1212
S.Greene,1339
A.Morris,745
M.Lynch,1919
S.Jackson,2607
B.Green-Ellis,1307
D.Thomas,502
R.Rice,2396
A.Peterson,2973
D.McFadden,1573
J.Charles,2369
D.Martin,755
J.Battle,402
E.Lacy,41
M.Vick,777
R.Mendenhall,2095
J.Snelling,478
B.Pierce,133
F.Jackson,1703
G.Bernard,37
J.Starks,384
A.Foster,2264
L.Miller,94
B.Powell,245
K.Moreno,1542
M.Reece,241
M.Vick,789
M.Lynch,2047
B.Pierce,150
M.Tolbert,645
G.Bernard,42
D.Murray,940
R.Hillman,239
D.Thomas,513
A.Peterson,3101
A.Smith,291
G.Smith,41
J.Charles,2471
M.Forte,2358
M.Jones-Drew,2130
T.Richardson,638
J.Locker,227
J.Bell,126
L.Blount,936
F.Jackson,1734
C.Polk,4
M.Forte,2418
M.Lynch,2199
T.Richardson,657
L.Bell,15
D.Sproles,638
R.Helu,415
F.Gore,2791
R.Mendenhall,2143
J.Rodgers,197
B.Green-Ellis,1408
F.Jackson,1737
D.Murray,1028
D.Brown,943
R.Rice,2474
D.Wilson,119
F.Gore,2798
R.Fitzpatrick,411
T.Lewis,7
B.Jacobs,1153
D.Murray,1049
K.Moreno,1635
B.Tate,870
J.Charles,2621
C.Newton,801
S.Ridley,773
M.Lynch,2322
A.Ellington,118
N.Foles,18
R.Mendenhall,2169
M.Tolbert,697
E.Lacy,304
A.Luck,205
D.Woodhead,541
J.Charles,2642
F.Jackson,1746
P.Hillis,1117
B.Bolden,121
P.Tanner,27
C.Kaepernick,201
M.Forte,2482
A.Ellington,227
A.Morris,1038
J.Bell,237
F.Gore,2878
A.Peterson,3207
B.Bolden,142
F.Jackson,1791
T.Pryor,274
De.Williams,170
M.Tolbert,731
C.Ponder,296
J.Starks,425
R.Tannehill,115
S.Ridley,862
C.Ivory,913
R.Jennings,478
R.Wilson,411
S.Greene,1364
A.Morris,1070
M.Lynch,2597
Z.Stacy,351
A.Peterson,3289
D.Murray,1158
T.Pryor,321
L.Bell,225
R.Mathews,1682
De.Williams,210
B.Rainey,46
M.Jones-Drew,2267
F.Summers,10
S.Ridley,910
R.Rice,2648
M.Ball,103
R.Jennings,616
M.Jones-Drew,2273
D.Thomas,633
J.Collins,23
B.Jacobs,1162
N.Foles,98
J.Bell,308
M.Lynch,2598
B.Rainey,134
C.Johnson,2885
R.Mendenhall,2264
S.Jackson,2749
S.Tolzien,25
M.Jones-Drew,2274
J.Charles,2853
C.Newton,930
K.Moreno,1778
T.Austin,79
L.Bell,400
E.Manuel,52
C.Newton,991
W.McGahee,1573
D.Murray,1252
R.Bush,1834
B.Tate,1077
R.Fitzpatrick,474
J.Charles,2946
C.Patterson,29
B.Green-Ellis,1621
F.Gore,3031
A.Morris,1178
R.Mendenhall,2355
T.Gerhart,538
J.McCown,55
B.Green-Ellis,1644
S.Greene,1380
E.Lacy,545
S.Vereen,223
M.Reece,394
J.Bell,397
D.Thomas,660
P.Hillis,1190
M.Lynch,2686
B.Rainey,266
J.Charles,2969
S.Jackson,2783
S.Richardson,2
E.Baker,34
D.Murray,1411
R.Mathews,1895
R.Bush,1850
E.Manuel,75
M.Asiata,28
M.Lynch,2713
R.Jennings,726
L.Bell,452
Z.Stacy,482
R.Mendenhall,2364
L.Blount,1137
F.Jackson,2015
De.Williams,389
B.Green-Ellis,1648
J.Bell,438
E.Lacy,644
S.Greene,1444
J.Charles,3014
E.Baker,63
L.McCoy,2444
D.McFadden,1662
S.Jackson,2801
B.Rainey,299
D.Murray,1414
R.Mathews,1942
K.Robinson,47
J.Forsett,646
E.Manuel,83
C.Hyde,17
A.Luck,254
M.Stafford,232
D.Young,41
S.Vereen,249
C.Ivory,1233
D.Sproles,776
L.Blount,1144
J.Kuhn,221
C.Patterson,152
J.Stewart,1247
G.Bernard,432
T.West,64
K.Davis,92
G.Smith,156
L.McCoy,2537
S.Ridley,982
J.Dwyer,480
A.Foster,2677
P.Harvin,472
F.Gore,3234
J.McCown,87
D.Murray,1580
A.Morris,1259
C.Hyde,27
D.Hester,35
L.Blount,1228
G.Bernard,453
T.West,75
R.Bush,1968
K.Davis,139
P.Thomas,1043
R.Jennings,859
R.Helu,492
M.Lynch,2891
D.Murray,1620
J.Forsett,764
E.Lacy,689
D.Murray,1683
T.Richardson,1014
J.Charles,3075
M.Asiata,60
M.Stafford,247
L.Miller,584
D.Martin,1118
T.Gerhart,605
A.Morris,1392
J.Cutler,541
A.Foster,2782
A.Ellington,497
E.Lacy,778
A.Luck,299
S.Ridley,1056
B.Rainey,352
S.Jackson,2904
B.Cunningham,87
B.Oliver,54
J.Locker,311
R.Wilson,647
M.Forte,2785
F.Jackson,2196
G.Bernard,552
I.Crowell,53
T.Richardson,1055
L.Miller,628
J.Bell,611
B.Oliver,155
D.Sproles,856
R.Wilson,659
B.Cunningham,88
B.Pierce,466
S.Johnson,43
B.Pierce,475
L.Miller,669
D.Murray,1910
R.Hillman,423
J.Bell,640
E.Lacy,840
A.Bradshaw,1598
D.Robinson,179
C.Ivory,1486
D.McFadden,1872
J.Charles,3208
T.Mason,17
A.Ellington,614
S.Jackson,2981
A.Dalton,241
B.Tate,1299
A.Morris,1534
J.Thompson,43
J.Charles,3219
B.Cooks,62
C.Ivory,1504
A.Bradshaw,1622
A.Foster,2959
M.Ingram,809
J.Hill,102
M.Grice,12
C.Polk,38
J.Charles,3239
L.Miller,768
A.Morris,1584
R.Hillman,479
A.Williams,113
M.Lynch,3077
B.Cunningham,115
J.Forsett,1002
J.Charles,3308
B.Tate,1306
D.Robinson,376
F.Gore,3544
D.Sproles,881
M.Lynch,3093
S.Jackson,3008
E.Lacy,922
J.Gray,135
J.Charles,3342
B.Sankey,185
I.Crowell,144
F.Jackson,2250
M.Forte,3172
Da.Thomas,9
J.Hill,306
T.Richardson,1130
E.Lacy,956
L.Blount,1344
J.Forsett,1081
A.Williams,151
L.Murray,65
D.Sproles,898
Ry.Mathews,171
A.Morris,1737
Ry.Mathews,209
J.Manziel,13
M.Sanchez,195
J.Bell,823
B.Bolden,201
D.Herron,112
R.Jennings,1039
G.Salas,20
L.Bell,1195
S.Hill,-1
D.Martin,1280
J.Charles,3443
D.Murray,2181
A.Dalton,287
A.Luck,392
C.Anderson,334
J.Bell,836
J.Starks,503
R.Fitzpatrick,549
J.Forsett,1190
C.Newton,1264
R.Wilson,835
A.Williams,240
L.Bell,1260
E.Lacy,1110
J.McCown,140
M.Ingram,1015
J.Hill,372
M.Asiata,264
K.Davis,162
S.Vereen,353
D.Murray,2191
F.Gore,3778
C.Ivory,1680
M.Lynch,3287
C.Newton,1299
R.Bush,2035
J.Hill,460
D.Murray,2231
T.Gerhart,763
M.Asiata,290
M.Ingram,1016
J.Gray,149
L.Bell,1281
F.Gore,3833
O.Darkwa,21
E.Lacy,1186
L.McCoy,2995
A.Ellington,819
D.Murray,2235
Ka.Williams,26
M.Forte,3344
R.Jennings,1061
W.Johnson,9
C.Ivory,1763
J.Hill,487
A.Abdullah,24
C.Hyde,291
T.Austin,218
B.Sankey,331
Ka.Williams,30
C.Newton,1402
J.Langford,22
I.Crowell,249
J.Charles,3634
T.Bridgewater,53
M.Ingram,1047
T.Coleman,56
L.Murray,305
De.Williams,512
M.Jones,169
C.Johnson,3439
A.Dalton,307
M.Ingram,1080
L.Murray,432
J.Randle,364
R.Hillman,535
J.Charles,3642
A.Blue,470
Ka.Williams,140
A.Peterson,3589
D.Lewis,70
A.Williams,325
D.Sproles,941
L.Bell,1309
F.Gore,3944
D.Freeman,104
J.Hill,559
R.Hillman,607
C.Ivory,1835
J.Randle,389
M.Campanaro,9
J.Kuhn,260
D.Martin,1565
K.Cousins,21
M.Jones,199
J.Flacco,339
T.Rawls,288
T.Brady,130
D.Johnson,175
F.Gore,4060
C.Hyde,461
R.Mathews,2060
L.Bell,1440
D.Martin,1658
A.Andrews,12
E.Manuel,120
J.Langford,25
J.Starks,755
L.Blount,1496
M.Ingram,1142
C.Ivory,1845
D.Murray,2375
C.Newton,1421
J.Landry,37
C.Johnson,3639
M.Tolbert,874
K.Robinson,191
T.Yeldon,305
C.West,110
L.Miller,1309
T.Brady,144
O.Darkwa,62
L.Murray,522
M.Lynch,3400
T.Gurley,399
K.Cousins,30
J.Winston,56
J.Flacco,341
J.Stewart,1878
J.Cutler,656
R.Hillman,760
D.Thomas,770
L.Miller,1324
T.Gurley,485
L.McCoy,3173
C.Newton,1464
M.Sanu,28
D.Murray,2423
F.Gore,4141
A.Peterson,3881
L.Blount,1551
D.Brees,90
C.Ivory,1878
De.Williams,648
J.Langford,134
J.Winston,80
C.West,144
L.Blount,1595
A.Peterson,4084
R.Mathews,2130
W.Tukuafu,1
T.Gurley,517
J.Winston,81
J.Stewart,1935
J.Hill,732
T.Gurley,542
J.Langford,159
L.Murray,756
R.Fitzpatrick,646
M.Mariota,62
A.Peterson,4119
L.McCoy,3357
D.Poe,1
T.Rawls,332
A.Peterson,4139
T.Austin,327
C.Newton,1524
R.Hillman,897
J.Bell,947
J.Langford,187
A.Blue,650
S.Ware,44
C.Ivory,2089
M.Bryant,44
D.Johnson,241
K.Cousins,35
T.Taylor,182
M.Forte,3742
A.Dalton,389
A.Rodgers,927
T.Rawls,402
T.Brady,171
J.Stewart,2156
L.Murray,865
K.Williams,397
J.Winston,113
T.Yeldon,488
D.McFadden,2456
A.Peterson,4184
J.Stewart,2208
A.Morris,2181
D.Williams,1530
I.Crowell,492
R.Turbin,490
J.White,40
D.Robinson,602
L.Miller,1509
D.Sproles,1081
T.Gurley,665
D.Martin,2258
C.West,253
B.Powell,756
D.Freeman,481
T.Bridgewater,137
A.Abdullah,394
R.Jennings,1445
J.Kuhn,270
D.Johnson,375
D.Williams,1536
D.Woodhead,813
J.Hill,783
T.Gurley,691
K.Cousins,63
D.Johnson,414
C.Newton,1638
D.Williams,1624
K.Williams,428
M.Sanu,42
J.Bell,1013
I.Crowell,577
F.Gore,4391
A.Peterson,4305
T.Hightower,1159
D.Brown,1241
R.Mathews,2137
T.Gurley,760
D.Martin,2325
B.Weeden,117
L.Blount,1771
L.McCoy,3509
E.Elliott,49
A.Janovich,28
J.Langford,261
T.Riddick,120
M.Gordon,501
L.Murray,934
J.Hill,854
I.Crowell,582
R.Tannehill,509
C.Hyde,532
C.Thompson,178
C.Johnson,3853
M.Forte,3867
B.Gabbert,182
J.Langford,262
I.Crowell,683
C.Anderson,796
A.Rodgers,961
L.Blount,1812
L.Murray,944
M.Gordon,534
E.Elliott,77
L.McCoy,3558
C.Newton,1679
J.Hill,941
D.Prescott,19
F.Gore,4450
T.Pryor,345
J.Brissett,40
T.Coleman,198
S.Vereen,602
W.Smallwood,39
C.Michael,327
C.Sims,399
L.Murray,966
D.Freeman,578
J.Flacco,359
D.Murray,2760
M.Asiata,353
D.Williams,1847
M.Ingram,1477
C.Hyde,583
J.Winston,166
I.Crowell,763
C.Artis-Payne,70
L.Blount,1889
E.Elliott,167
D.Freeman,581
M.Gillislee,109
M.Mariota,113
M.Asiata,353
J.Olawale,91
D.Johnson,709
D.Johnson,770
L.McCoy,3741
J.Howard,241
C.Keenum,109
L.Miller,1778
D.Heyward-Bey,118
A.Dalton,393
C.Fleener,2
T.West,580
S.Ware,298
C.Michael,420
D.Murray,2846
M.Jones,478
M.Gordon,697
G.Bernard,980
C.Anderson,866
Z.Zenner,76
R.Jennings,1573
T.Taylor,305
M.Forte,4075
L.Blount,1971
M.Davis,9
D.Murray,2923
D.Freeman,613
M.Gillislee,165
J.Stewart,2253
J.Howard,342
R.Kelley,100
B.Powell,931
D.Prescott,43
D.Booker,111
L.Miller,1829
C.Michael,475
J.Rodgers,501
D.Henry,90
B.Roethlisberger,290
E.Elliott,377
F.Gore,4659
J.Ajayi,182
R.Ellison,1
R.Mathews,2300
L.Murray,1041
M.Mariota,211
T.Taylor,309
T.Hightower,1264
T.Gabriel,24
D.Johnson,918
C.Newton,1767
L.Blount,2004
J.Hill,1111
R.Mathews,2334
L.Bell,1948
D.Williams,1855
D.Martin,2443
D.Murray,3062
M.Asiata,459
J.Stewart,2333
L.McCoy,3781
L.Bell,2033
T.West,708
E.Ebron,1
R.Turbin,507
A.Smith,882
T.Gurley,1118
D.Johnson,935
R.Jennings,1614
L.Miller,1902
C.Prosise,78
R.Kelley,153
D.Freeman,670
C.Ivory,2491
D.Henry,113
E.Elliott,493
T.Hill,56
M.Asiata,464
B.Osweiler,48
L.Bell,2051
J.Ajayi,257
M.Ingram,1679
C.Newton,1764
C.Wentz,22
D.Johnson,974
D.Freeman,685
T.West,806
J.Howard,519
J.Hill,1140
A.Ripkowski,62
E.Elliott,528
L.Blount,2250
J.Kuhn,285
R.Turbin,516
M.Gillislee,204
D.Martin,2572
T.Rawls,529
L.Bell,2198
J.Stewart,2412
J.Hill,1173
M.Stafford,480
T.Montgomery,184
L.Miller,1982
C.West,464
T.Coleman,236
J.Nelson,60
L.Blount,2266
R.Kelley,195
S.Draughn,289
D.Martin,2603
D.Murray,3092
K.Williams,477
D.Freeman,712
R.Mathews,2364
M.Gillislee,207
T.Montgomery,190
A.Dalton,408
E.Elliott,683
L.Blount,2269
B.Bortles,495
T.Hill,126
R.Turbin,519
R.Kelley,202
J.Ajayi,417
T.Coleman,307
C.Thompson,308
I.Crowell,908
Z.Zenner,177
A.Rodgers,1121
A.Blue,998
A.Smith,894
T.Gurley,1249
L.Blount,2310
M.Ingram,1735
D.Washington,407
D.Sproles,1223
L.Bell,2283
D.Johnson,1005
